context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
5,92.0,149,162,162,802,4774,2646,204,0.0005,4123,8404,12343,0,0.0
6,90.7,147,162,162,802,5766,4811,230,0.0009,5680,9167,14817,0,0.0
10,85.2,138,162,81,401,4900,5891,224,0.0010,4721,7243,12616,0,0.0
20,76.8,126,164,41,201,4937,11223,246,0.0018,4289,9250,13119,0,0.0
30,72.6,122,168,28,134,5152,15686,277,0.0025,4762,9163,11543,0,0.0
50,65.9,112,170,17,81,5299,27094,291,0.0042,4633,8880,15231,0,0.0
70,55.7,88,158,12,58,5447,34873,288,0.0054,4492,9938,14722,0,0.0
100,53.3,96,180,9,41,5707,53972,287,0.0083,4617,9008,15889,0,0.0
150,48.3,83,172,6,27,6568,92958,311,0.0141,5863,11315,16980,0,0.0
200,45.0,72,160,5,21,6154,109276,327,0.0166,5413,10131,14841,0,0.0
300,45.0,27,60,3,14,7783,146204,291,0.0221,7035,13556,17683,0,0.0
